rankdate,1,2,3,4,5,LS,cons,Date,Mkt-RF,SMB,HML,RMW,CMA,RF
2009-07,0.0799349462184874,0.08967167880794702,0.10816235117056858,0.12786524402730376,0.11981611394557823,0.03988116772709083,0,200907,7.72,2.39,4.84,-0.46,3.14,0.01
2009-08,0.029441815831987083,0.021773447278911562,0.04387941556291391,0.03555007425742574,0.14247922613065328,0.1130374102986662,0,200908,3.33,-0.09,7.63,-3.02,3.34,0.01
2009-09,0.05194538372093024,0.053596626043405676,0.06646474832214765,0.07033655091819699,0.09197138215488217,0.04002599843395193,0,200909,4.08,2.73,1.04,1.31,0.35,0.01
2009-10,-0.025135245098039216,-0.04691231365935919,-0.06698293864013267,-0.08890245150501673,-0.10288768552412646,-0.07775244042608724,0,200910,-2.59,-4.93,-4.2,4.17,-1.49,0.0
2009-11,0.04218616885245902,0.04045110929853181,0.025837135225375625,0.018888100660066007,-0.011691804958677684,-0.05387797381113671,0,200911,5.56,-2.68,-0.34,1.0,0.12,0.0
2009-12,0.05733388225538971,0.06698993802345059,0.07894261538461539,0.08191629322033898,0.07978780236486487,0.022453920109475153,0,200912,2.75,6.23,-0.17,1.02,-0.09,0.01
2010-01,-0.03204894267515923,-0.032988979966611015,-0.04232397435897436,-0.018822733884297522,0.027577663333333332,0.059626606008492566,0,201001,-3.36,0.34,0.43,-1.27,0.46,0.0
2010-02,0.04701438755980861,0.03850424058919804,0.0391940794165316,0.04735784477124183,0.03617018241042346,-0.010844205149385146,0,201002,3.4,1.51,3.23,-0.27,1.43,0.0
2010-03,0.07860673469387755,0.07828524744027304,0.08186243728222997,0.0791023481228669,0.09157264298093588,0.012965908287058334,0,201003,6.31,1.85,2.21,-0.65,1.69,0.01
2010-04,0.061209792279411764,0.05126827106227106,0.0434039962962963,0.0689139443413729,0.11896867717996289,0.05775888490055112,0,201004,2.0,4.98,2.89,0.69,1.72,0.01
2010-05,-0.06004390199637025,-0.06577282285714285,-0.0782397098540146,-0.08642057009345795,-0.11095034659090909,-0.050906444594538844,0,201005,-7.89,0.04,-2.44,1.3,-0.22,0.01
2010-06,-0.05819457586206896,-0.05775109107142856,-0.0717336952714536,-0.09005763222416811,-0.11737252659574468,-0.05917795073367572,0,201006,-5.57,-2.47,-4.7,-0.16,-1.55,0.01
2010-07,0.0801231089965398,0.06598616955017302,0.06074372600349041,0.06697410763888888,0.05642701058201058,-0.023696098414529215,0,201007,6.93,0.14,-0.33,0.27,1.98,0.01
2010-08,-0.05532379901153213,-0.05671753763440861,-0.07322625649913345,-0.0872060735042735,-0.1082901107205624,-0.05296631170903027,0,201008,-4.77,-3.13,-1.93,0.58,-1.61,0.01
2010-09,0.12820628448275861,0.11973763959390865,0.12101448042704625,0.12666070120898099,0.11480512673611111,-0.013401157746647505,0,201009,9.54,3.77,-3.18,-0.18,0.36,0.01
2010-10,0.05650036904761905,0.043685374367622265,0.043897310763888885,0.03767312565445026,0.03622446735395189,-0.020275901693667157,0,201010,3.88,0.86,-2.51,1.31,-0.33,0.01
2010-11,0.03685795666666667,0.025908646341463414,0.038076734939759035,0.025055227194492255,0.008123608620689655,-0.028734348045977014,0,201011,0.6,3.64,-0.92,0.38,1.63,0.01
2010-12,0.07290519795221843,0.0755986124567474,0.0713314429065744,0.09844030256410256,0.13196369284467713,0.05905849489245869,0,201012,6.82,0.99,3.76,-3.52,3.21,0.01
2011-01,0.0165058782161235,0.008971464837049744,0.0009056846689895466,0.0019418141135972456,0.02106931881533101,0.004563440599207512,0,201101,1.99,-2.38,0.75,-0.65,0.77,0.01
2011-02,0.0550854300341297,0.04516585837651123,0.03931559322033898,0.03973955882352941,0.050941991379310346,-0.004143438654819351,0,201102,3.49,1.65,1.27,-1.93,0.87,0.01
2011-03,0.02096594190140845,0.019128704745166956,0.02014988043478261,0.0215797299270073,0.012395490125673252,-0.008570451775735198,0,201103,0.46,2.63,-1.85,1.8,-0.05,0.01
2011-04,0.037817057728119184,0.029914615238095237,0.02294587837837838,0.01488603653846154,0.007326353166986564,-0.03049070456113262,0,201104,2.9,-0.5,-2.49,1.11,-0.86,0.0
2011-05,0.0010937000000000004,-0.011724073267326733,-0.02412959013282733,-0.027295399606299214,-0.028258496108949416,-0.029352196108949416,0,201105,-1.27,-0.71,-2.0,1.91,-1.5,0.0
2011-06,-0.007972601423487545,-0.018708101633393828,-0.019062021505376343,-0.026332931481481484,-0.05297281272727273,-0.04500021130378518,0,201106,-1.75,0.13,-0.39,2.43,-1.51,0.0
2011-07,-0.028118035842293908,-0.0339656256684492,-0.033571118584070796,-0.029498074817518247,-0.04345828417266187,-0.015340248330367963,0,201107,-2.35,-1.2,-0.9,2.68,-1.82,0.0
2011-08,-0.05269520677361854,-0.07846587900355873,-0.09557353654188948,-0.1082805882352941,-0.14247065709156193,-0.08977545031794339,0,201108,-5.99,-3.2,-2.36,3.3,-0.38,0.01
2011-09,-0.08872383916083916,-0.09471588132635253,-0.10922529316546763,-0.13117266483516482,-0.14084710178571427,-0.052123262624875114,0,201109,-7.59,-3.65,-1.72,2.04,0.26,0.0
2011-10,0.1417624142114385,0.14364564768683274,0.15285814081996438,0.14612657374100718,0.1247670142857143,-0.016995399925724214,0,201110,11.35,3.46,0.1,-2.16,-0.86,0.0
2011-11,0.012627110726643598,-0.011638301038062283,-0.0036745909090909095,-0.02926012698412698,-0.05059665961199294,-0.06322377033863653,0,201111,-0.28,-0.27,-0.45,1.86,1.49,0.0
2011-12,0.01127417192982456,0.007971058098591548,-0.004929829565217391,-0.006434595706618963,0.0023715291005291,-0.008902642829295461,0,201112,0.74,-0.33,1.63,0.98,2.51,0.0
2012-01,0.06349870950704226,0.07525313811188811,0.07207622956521739,0.1061920358422939,0.11147784778761062,0.047979138280568365,0,201201,5.05,2.05,-0.97,-2.01,-1.43,0.0
2012-02,0.03156854545454545,0.0361435495652174,0.02992064937388193,0.04028650528169015,0.05387297539543058,0.022304429940885127,0,201202,4.42,-1.7,0.43,-0.48,-0.01,0.0
2012-03,0.0318949,0.028189386156648455,0.032605559040590405,0.02699512568306011,0.025690453211009174,-0.006204446788990823,0,201203,3.11,-0.47,1.14,-0.54,0.74,0.0
2012-04,0.0048133761996161225,-0.007588878846153846,-0.015967960784313725,-0.026444324999999998,-0.04381976908023483,-0.04863314527985095,0,201204,-0.85,-0.55,-0.78,1.3,0.65,0.0
2012-05,-0.044973241054613936,-0.05366161660079052,-0.06985289615384616,-0.09688135867446394,-0.0890182818003914,-0.04404504074577746,0,201205,-6.19,-0.12,-1.06,2.08,2.32,0.01
2012-06,0.04644386413043479,0.041030001811594205,0.041370658040665434,0.049918318435754186,0.04601744220183487,-0.0004264219285999224,0,201206,3.89,0.84,0.62,-1.09,0.46,0.0
2012-07,0.01161746975088968,-0.0003863788706739533,-0.012782572463768117,-0.017669020146520147,-0.02995472,-0.04157218975088968,0,201207,0.79,-2.8,-0.02,1.1,0.09,0.0
2012-08,0.034366124333925406,0.037783894927536234,0.03636224057450629,0.02394646040515654,0.02257403429602888,-0.011792090037896524,0,201208,2.55,0.45,1.3,-1.33,-0.86,0.01
2012-09,0.03286265357142858,0.03230005141843971,0.03445245090909091,0.03742898905109489,0.06158221942446043,0.028719565853031856,0,201209,2.73,0.61,1.6,-1.49,1.54,0.01
2012-10,-0.0045153031914893635,-0.015172393177737881,-0.016887374551971326,-0.03483366482504604,-0.04726193501805054,-0.042746631826561174,0,201210,-1.76,-0.9,3.59,-1.34,2.51,0.01
2012-11,0.010711925925925925,0.015391628828828828,0.009118469534050178,0.0091480990990991,-0.0035738563734290844,-0.01428578229935501,0,201211,0.78,0.47,-0.84,0.6,0.84,0.01
2012-12,0.025698315881326355,0.025381725274725278,0.03286003003533569,0.03229469034608379,0.03302213799283154,0.007323822111505184,0,201212,1.18,1.91,3.51,-1.85,0.88,0.01
2013-01,0.07009775656742556,0.066299675,0.06361295246478872,0.07479491224862889,0.08624751985559567,0.01614976328817011,0,201301,5.57,0.47,0.96,-1.93,1.42,0.0
2013-02,0.01812841884816754,0.016989506172839508,0.007693620996441281,0.016397017857142857,0.000724750000000001,-0.01740366884816754,0,201302,1.29,-0.25,0.11,-0.67,0.54,0.0
2013-03,0.04838065608465608,0.04901172623574144,0.04248955716878403,0.05652302597402597,0.04065717127071823,-0.00772348481393785,0,201303,4.03,0.86,-0.19,0.14,1.37,0.0
2013-04,0.013695530534351146,0.0015281711538461533,-0.001314401515151515,-0.0012224601941747577,-0.011837217898832686,-0.02553274843318383,0,201304,1.55,-2.25,0.45,0.27,0.37,0.0
2013-05,0.03529986897880539,0.04441107945736434,0.050508551059730254,0.05502983653846154,0.0669099783464567,0.031610109367651316,0,201305,2.8,2.09,2.63,-1.97,-0.91,0.0
2013-06,0.005751233151183971,-0.0033556992481203005,0.001236549348230912,0.0030915848708487083,-0.013191561205273072,-0.018942794356457043,0,201306,-1.2,1.56,0.03,-0.38,0.01,0.0
2013-07,0.07663289253187612,0.07618773480662984,0.06641975,0.06952771559633028,0.08815401121495327,0.011521118683077147,0,201307,5.65,1.8,0.57,-1.35,0.52,0.0
2013-08,-0.03013695787545788,-0.018425387272727273,-0.02445567837338262,-0.025675046382189242,-0.03784667158671587,-0.00770971371125799,0,201308,-2.71,-0.06,-2.69,0.66,-2.16,0.0
2013-09,0.05334072987477638,0.0586917355679702,0.05964509090909091,0.0659550802238806,0.06190101100917432,0.00856028113439794,0,201309,3.77,2.66,-1.22,-0.58,-1.4,0.0
2013-10,0.04547633038869258,0.03223040747663552,0.024876869963369963,0.015349216513761468,0.0067213071297989035,-0.03875502325889368,0,201310,4.18,-1.51,1.25,2.78,0.92,0.0
2013-11,0.049594793536804314,0.049382523381294965,0.03784389762340037,0.03564082490974729,0.051177663636363634,0.0015828700995593192,0,201311,3.13,1.4,0.32,0.14,0.05,0.0
2013-12,0.022969185840707965,0.025249543165467625,0.025980112115732368,0.031337221223021586,0.04539141155234657,0.022422225711638606,0,201312,2.81,-0.44,-0.02,-0.46,0.08,0.0
2014-01,-0.033120643738977065,-0.03155434050179211,-0.01395549016100179,-0.008353599644128115,0.029528713012477722,0.06264935675145479,0,201401,-3.32,0.58,-2.07,-3.88,-1.43,0.0
2014-02,0.05152716197183099,0.04895670194003527,0.05110172949389179,0.04237733689839572,0.053257621238938055,0.0017304592671070623,0,201402,4.65,0.16,-0.31,-0.23,-0.47,0.0
2014-03,0.009800236794171222,-0.0007616678899082576,0.002452652406417112,-0.011102046904315198,-0.01959835897435897,-0.029398595768530194,0,201403,0.43,-1.13,4.93,2.13,1.98,0.0
2014-04,-0.021245217557251908,-0.027370023032629563,-0.03331542829827916,-0.04589389224952742,-0.0659618089668616,-0.04471659140960969,0,201404,-0.19,-4.14,1.17,3.48,1.04,0.0
2014-05,0.02285323033707865,0.016808477272727274,0.00777735657370518,-0.004978445075757578,-0.016744444444444444,-0.039597674781523096,0,201405,2.06,-1.89,-0.13,0.05,-1.01,0.0
2014-06,0.039687474426807756,0.041754698729582575,0.0480613082437276,0.062436102150537624,0.07315758664259928,0.03347011221579152,0,201406,2.61,3.1,-0.7,-1.89,-1.98,0.0
2014-07,-0.0299685947826087,-0.03943838010657194,-0.05570495598591549,-0.059725427304964544,-0.08610185689045936,-0.05613326210785066,0,201407,-2.04,-4.29,0.03,0.88,0.51,0.0
